# GECK Non-Function Pages Index
# Format: Title | Summary | Categories

Ar BadNumericIndex | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar BadStringIndex | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Copy | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar CustomSort | ==Example (lambda)== | Functions_(NVSE); Array Functions; User Defined Functions; NVSE-Aware Functions
Ar DeepCopy | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar DumpID | ==Example== | Functions_(NVSE); Array Functions; Debugging
Ar Find | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar First | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar HasKey | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Keys | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Last | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Next | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Null | ==Example== | Functions_(NVSE); Array Functions
Ar Packed | |example = }} | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Prev | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Resize | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Size | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar Sort | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar SortAlpha | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
ARES NVSE | This page lists functions added by the [https://www.nexusmods.com/newvegas/mods/78078 ARES NVSE Plugin] | Functions (All); Functions
BuildRef | ==Example== | Functions_(NVSE); File Functions; ID Functions; Functions_(Command Extender); Functions (FO3)
ClearBit | ==Example== | Functions_(NVSE); Bit Functions
Complete List of Functions in Fallout 3 | The following is a complete list of all registered functions available in Fallout 3 and its FOSE extenders. Note that some may be console only, and unavailable in the GECK. Some may also be unused and | Functions (GECK); Functions; Console Functions
Complete List of Functions in Fallout New Vegas (OLD LIST) | The following is a complete list of almost all registered functions available in Fallout: New Vegas and its NVSE extenders. Note that some may be console only, and unavailable in the GECK. Some may al | Functions (GECK); Functions; Console Functions
Eval | Eval is required to test the value of user defined functions, and those related to arrays and strings in if conditionals, as the vanilla compiler will otherwise misunderstand them. This is because the | Commands; Scripting; Functions_(NVSE); Array Functions; String Functions; User Defined Functions; NVSE-Aware Functions
GameDaysPassed | #REDIRECT Special Variables | Functions (GECK); Functions; Time Functions
GetActorBaseFlagsHigh | ==Example== | Functions_(NVSE); Bit Functions; Flag Functions; Actor Functions
GetActorBaseFlagsLow | ==Example== | Functions_(NVSE); Bit Functions; Flag Functions; Actor Functions
GetAmmoCasing | ==Example== | Functions_(NVSE); Ammo Functions; Weapon Functions
GetBit | ==Example== | Functions_(NVSE); Bit Functions
GetDebugSelection | ==Example== | Functions_(NVSE); Debugging
GetEquipmentBipedMask | ==Bit Fields== | Functions_(NVSE); Bit Functions; Armor Functions
GetEquipmentSlotsMask | ==Example== | Functions_(NVSE); Bit Functions; Armor Functions
GetEquippedWeaponModFlags | ==Example== | Functions_(NVSE); Weapon Functions; Actor Functions; Bit Functions; Condition Functions; Flag Functions
GetEyesFlags | ==Example== | Functions_(NVSE); Bit Functions; Eye Functions; Flag Functions
GetFlagsHigh | ==Example== | Functions_(NVSE); Bit Functions; Functions_(Command Extender); Functions (FO3); Flag Functions
GetFlagsLow | ==Example== | Functions_(NVSE); Bit Functions; Functions_(Command Extender); Functions (FO3); Flag Functions
GetHairFlags | ==Example== | Functions_(NVSE); Bit Functions; Hair Functions; Flag Functions
GetIdleDoneOnce | Link to UESP Construction Set Wiki: [https://cs.uesp.net/wiki/GetIdleDoneOnce GetIdleDoneOnce]. | Functions (GECK); Functions; Animation Functions; Functions (FO3); Condition Functions
GetInventoryObject | ==Example== | Functions_(FOSE); Functions_(NVSE); Inventory Functions; Functions (FO3)
GetLocalRefIndex | ==Example== | Functions_(NVSE)
GetNthModName | ==Example== | Functions_(NVSE); Debugging; File Functions; Name Functions; String Functions
GetShouldAttack | Link to UESP Construction Set Wiki: [https://cs.uesp.net/wiki/GetShouldAttack GetShouldAttack]. | Functions (GECK); Functions; Combat Functions; Condition Functions; Functions (FO3)
GetWeaponFlags1 | ==Example== | Functions_(NVSE); Weapon Functions; Bit Functions; Functions_(Command Extender); Condition Functions; Functions (FO3); Flag Functions
